ar_rank,case_id,dataset,fault_type,median_top3_union_ar_early_to_late_decay_fraction,median_top3_union_ar_initial_to_late_decay_fraction,median_top3_union_ar_initial_to_late_retention_ratio,median_top3_union_ar_late_to_early_shift_ratio,median_top3_union_ar_score_minus_raw_score,median_top3_union_raw_late_to_early_shift_ratio,median_top3_union_raw_shift_abs,median_top3_union_raw_shift_sign_consistency,median_top3_union_signal_retention_ratio,median_top3_union_sum_phi,movement,n_root_metrics,n_service_top3_union_metrics,rank_delta,raw_rank,root_cause_service
3,re1_ob__currencyservice_disk__4,re1_ob,disk,-0.021982728675100982,-8.260857138460448,9.260857138460448,1.021982728675101,-17.39670422337167,1.0634589238275702,9.017459732316219,0.961218836565097,0.11130740181061258,0.889267834694776,worsened,4,3,-1,2,currencyservice
1,re1_ob__currencyservice_disk__5,re1_ob,disk,-0.04118845650366065,-2.986324786324923,3.986324786324923,1.0411884565036607,-308.55553970469214,1.041951308771773,8.999272132898898,0.9750692520775623,0.23898641252032624,0.7599325238172254,same,4,3,0,1,currencyservice
2,re1_ob__currencyservice_loss__1,re1_ob,loss,-0.3690785293372474,-3.29731208136476,4.29731208136476,1.3690785293372474,-9.081865276864676,1.377468899999622,11.547648078629269,0.7867036011080333,0.5387080466742926,0.41586547212491715,improved,4,4,1,3,currencyservice
1,re1_ob__currencyservice_loss__2,re1_ob,loss,-0.990244582417387,0.10575438651540009,0.8942456134846,1.9902445824173869,-18.22676259530681,1.963203835556231,0.43363126220152814,0.8642659279778393,0.7258508500045038,0.5583272265521453,same,4,3,0,1,currencyservice
3,re1_ob__currencyservice_loss__3,re1_ob,loss,-1.49926891491202,0.7953913317791366,0.2046086682208635,2.4992689149120197,-4.554574800022692,2.5266391115814026,6.1449319168182335,0.7839335180055401,0.6540310363065898,0.3553268601111562,improved,4,4,1,4,currencyservice
1,re1_ob__currencyservice_loss__4,re1_ob,loss,0.15819531685093607,,,0.841804683149064,-21.20199936402878,0.8289482852969705,0.5292678329813469,0.889196675900277,0.6513710493352647,0.7045875681709873,same,4,3,0,1,currencyservice
2,re1_ob__currencyservice_loss__5,re1_ob,loss,-0.25371681433700366,-56.96535379289767,57.96535379289767,1.2537168143370037,-27.191259019231097,1.2539604758724034,7.222738761518251,0.7520775623268698,0.7275891312462971,0.2724907005988666,same,4,4,0,2,currencyservice
1,re1_ob__currencyservice_mem__1,re1_ob,mem,-0.004527209734569881,,,1.0045272097345699,-496.56830601292586,1.0041280027129205,81.39253918143932,0.9916666666666667,0.3719197490948319,0.6278240863161977,same,4,3,0,1,currencyservice
1,re1_ob__currencyservice_mem__2,re1_ob,mem,-0.06358729873167279,,,1.0635872987316728,-573.0187220867792,1.0635872987316721,80.71167382826319,0.9883333333333333,0.3185869308124357,0.6806112709900378,same,4,3,0,1,currencyservice
1,re1_ob__currencyservice_mem__3,re1_ob,mem,0.00917908555070468,-184.14559750486606,185.14559750486606,0.9908209144492953,-734.4084437730799,1.0,82.83591557807092,1.0,0.24499969588704382,0.7550611773214533,same,4,3,0,1,currencyservice
1,re1_ob__currencyservice_mem__4,re1_ob,mem,1.0395904472493278e-05,,,0.9999896040955275,-1289.4273676456128,0.9999915471289823,81.80228124149436,0.9833333333333333,0.01818744035593075,0.981899872716307,same,4,3,0,1,currencyservice
2,re1_ob__currencyservice_mem__5,re1_ob,mem,-0.0011110562729643725,-6.965485543139122,7.965485543139122,1.0011110562729644,-1205.745734035685,1.0040049224244978,79.91347465932503,0.995,0.01038470438785629,0.9896366801642236,same,4,3,0,2,currencyservice
2,re1_ob__productcatalogservice_cpu__1,re1_ob,cpu,-0.0036161439281749974,-101.20754228054179,102.20754228054179,1.003616143928175,-684.1546055888148,1.003624789548828,89.90016445782825,0.9833333333333333,0.18679518744160417,0.7205786313678434,same,4,3,0,2,productcatalogservice
2,re1_ob__productcatalogservice_cpu__2,re1_ob,cpu,-0.02242256389299091,-86.93924192923245,87.93924192923245,1.022422563892991,-594.570834368622,1.0264419247473684,89.88326068577193,0.99,0.19062106847142496,0.6913882401812537,worsened,4,3,-1,1,productcatalogservice
1,re1_ob__productcatalogservice_cpu__3,re1_ob,cpu,-0.0040398231052902744,-141.793085349884,142.793085349884,1.0040398231052903,-492.7187438021565,1.0080031723922815,89.76013685303636,0.9916666666666667,0.21172179370970196,0.650372417155352,same,4,3,0,1,productcatalogservice
