case_id,dataset,fault_type,root_cause_service,residualization,fit_samples,pseudo_abnormal_samples,n_metrics,n_services,max_service_score,median_service_score,p90_service_score,positive_service_fraction,top_service,metrics_with_any_clip,mean_metric_clip_fraction
re1_ob__adservice_mem__3,re1_ob,mem,adservice,ar,300,300,50,15,282.5201598510887,-8.953036560755663,153.9392355698484,0.3333333333333333,emailservice,0,0.0
re1_ob__adservice_mem__3,re1_ob,mem,adservice,counterfactual_ar,300,300,50,15,490.5744031840763,315.3859297639029,429.2769919145309,0.8,adservice,5,0.09179999999999999
re1_ob__adservice_mem__4,re1_ob,mem,adservice,raw,300,300,50,15,301.0042573749828,-2.145310984161862,114.16111970032196,0.4666666666666667,main,0,0.0
re1_ob__adservice_mem__4,re1_ob,mem,adservice,ar,300,300,50,15,52.86920217348554,-6.369938322966088,26.311036507891252,0.2,emailservice,0,0.0
re1_ob__adservice_mem__4,re1_ob,mem,adservice,counterfactual_ar,300,300,50,15,419.4732981867169,255.39554280326698,336.9765534609504,0.8,paymentservice,3,0.06
re1_ob__adservice_mem__5,re1_ob,mem,adservice,raw,300,300,50,15,814.4987335079744,-3.6048039500643276,332.6984204724826,0.4666666666666667,emailservice,0,0.0
re1_ob__adservice_mem__5,re1_ob,mem,adservice,ar,300,300,50,15,732.3853372210982,0.7411358412133874,237.59008338169792,0.5333333333333333,emailservice,0,0.0
re1_ob__adservice_mem__5,re1_ob,mem,adservice,counterfactual_ar,300,300,50,15,845.3911364375821,296.6182608299361,516.098965855779,0.8,emailservice,2,0.04
re1_ob__cartservice_cpu__1,re1_ob,cpu,cartservice,raw,300,300,50,15,614.945776844545,1.5678688796814793,103.79640240625605,0.5333333333333333,frontend-external,0,0.0
re1_ob__cartservice_cpu__1,re1_ob,cpu,cartservice,ar,300,300,50,15,614.5329234968226,-8.340741923208535,67.20366295053698,0.3333333333333333,frontend-external,0,0.0
re1_ob__cartservice_cpu__1,re1_ob,cpu,cartservice,counterfactual_ar,300,300,50,15,614.8860899470485,278.69139088590777,426.0066341050174,0.8666666666666667,frontend-external,3,0.06
re1_ob__cartservice_cpu__2,re1_ob,cpu,cartservice,raw,300,300,50,15,216.26695290001518,7.398624509659915,154.7469407667091,0.5333333333333333,cartservice,0,0.0
re1_ob__cartservice_cpu__2,re1_ob,cpu,cartservice,ar,300,300,50,15,236.82631554811795,-5.797577986503796,63.292010915335496,0.3333333333333333,cartservice,0,0.0
re1_ob__cartservice_cpu__2,re1_ob,cpu,cartservice,counterfactual_ar,300,300,50,15,542.4949954819331,325.0825296042577,496.03650919056,0.7333333333333333,adservice,3,0.06
re1_ob__cartservice_cpu__3,re1_ob,cpu,cartservice,raw,300,300,50,15,575.9132185387534,-3.9184266117703905,143.2870114608462,0.4666666666666667,emailservice,0,0.0
re1_ob__cartservice_cpu__3,re1_ob,cpu,cartservice,ar,300,300,50,15,469.6949847254395,-6.984891497788908,28.726056222328737,0.2,emailservice,0,0.0
re1_ob__cartservice_cpu__3,re1_ob,cpu,cartservice,counterfactual_ar,300,300,50,15,517.7236723074925,265.45517400440184,434.565355325134,0.8,emailservice,3,0.06
re1_ob__cartservice_cpu__4,re1_ob,cpu,cartservice,raw,300,300,50,15,298.06503085027936,14.29551047268861,173.7089175744032,0.5333333333333333,recommendationservice,0,0.0
re1_ob__cartservice_cpu__4,re1_ob,cpu,cartservice,ar,300,300,50,15,276.90640298004246,-3.821493197892399,130.7955951478682,0.4,recommendationservice,0,0.0
re1_ob__cartservice_cpu__4,re1_ob,cpu,cartservice,counterfactual_ar,300,300,50,15,491.4653657356303,247.0646708682525,397.90466246356186,0.8,adservice,3,0.06
re1_ob__cartservice_cpu__5,re1_ob,cpu,cartservice,raw,300,300,50,15,154.6035923923049,-3.23712269054397,85.08499122011781,0.4666666666666667,emailservice,0,0.0
re1_ob__cartservice_cpu__5,re1_ob,cpu,cartservice,ar,300,300,50,15,60.617235936368196,-8.991494044673649,16.59978647832669,0.3333333333333333,emailservice,0,0.0
