case_id,dataset,fit_fraction,fit_samples,pseudo_samples,prior_name,ar_order,n_metrics,n_scored_metrics,metric_failures,median_metric_log_bf,p90_metric_log_bf,max_metric_log_bf,positive_metric_fraction,strong_metric_fraction,n_services,median_service_log_bf,p90_service_log_bf,max_service_log_bf,positive_service_fraction,strong_service_fraction,top_service,pre_unstable_metric_fraction,post_unstable_metric_fraction,shared_unstable_metric_fraction
re1_tt__ts-travel-service_disk__4,re1_tt,0.4,144,216,weak,3,1445,1445,0,-16.228978366122547,28.36800234410125,3746.772286843816,0.16124567474048443,0.1453287197231834,72,120.85614915723409,1285.3458148259463,3163.527066518145,0.875,0.8611111111111112,ts-admin-user-service,0.011072664359861591,0.007612456747404845,0.011764705882352941
re1_tt__ts-travel-service_disk__4,re1_tt,0.4,144,216,reference,3,1445,1445,0,-16.747476153275784,25.610555411693895,3700.825729052058,0.15432525951557094,0.14186851211072665,72,110.58530858473978,1249.0555936744593,3117.583053911601,0.8611111111111112,0.8472222222222222,ts-admin-user-service,0.008996539792387544,0.006920415224913495,0.011072664359861591
re1_tt__ts-travel-service_disk__4,re1_tt,0.4,144,216,strong,3,1445,1445,0,-34.13061678547106,9.488334010360937,3612.4943712351433,0.1259515570934256,0.11903114186851212,72,81.73718251645991,1207.7307523241918,3029.266211654472,0.8333333333333334,0.8333333333333334,ts-admin-user-service,0.004844290657439446,0.0034602076124567475,0.008304498269896194
re1_tt__ts-travel-service_disk__4,re1_tt,0.5,180,180,weak,3,1445,1445,0,-16.74710730146961,33.14868657219118,4730.339037272652,0.1522491349480969,0.14463667820069204,72,117.5957804267267,1458.1791662570479,2841.632817735523,0.8472222222222222,0.8194444444444444,ts-notification-service,0.009688581314878892,0.004844290657439446,0.011764705882352941
re1_tt__ts-travel-service_disk__4,re1_tt,0.5,180,180,reference,3,1445,1445,0,-17.418096033993322,22.713046212950015,4671.9391612024565,0.15017301038062283,0.14048442906574393,72,102.81121323080002,1433.5037806982157,2783.2327321284306,0.875,0.8472222222222222,ts-notification-service,0.01245674740484429,0.004844290657439446,0.011072664359861591
re1_tt__ts-travel-service_disk__4,re1_tt,0.5,180,180,strong,3,1445,1445,0,-36.07744429315153,12.531396259731673,4558.789349540478,0.12318339100346021,0.11695501730103806,72,77.30332859325618,1379.6487834655413,2670.081108948623,0.8333333333333334,0.7361111111111112,ts-notification-service,0.008304498269896194,0.0034602076124567475,0.006920415224913495
re1_tt__ts-travel-service_disk__4,re1_tt,0.6,216,144,weak,3,1445,1445,0,-17.294672201482257,41.51531858357899,5721.295841348599,0.14256055363321798,0.1356401384083045,72,106.62976164608673,1424.6395527749307,3107.323839683819,0.8611111111111112,0.8472222222222222,ts-execute-service,0.004152249134948097,0.006920415224913495,0.011072664359861591
re1_tt__ts-travel-service_disk__4,re1_tt,0.6,216,144,reference,3,1445,1445,0,-17.71079947866832,29.897824537512804,5650.403554559105,0.1342560553633218,0.13217993079584775,72,96.93575408143025,1400.392099115846,3058.87446083443,0.8611111111111112,0.8611111111111112,ts-execute-service,0.0034602076124567475,0.005536332179930796,0.010380622837370242
re1_tt__ts-travel-service_disk__4,re1_tt,0.6,216,144,strong,3,1445,1445,0,-35.35124203760017,11.445230191918483,5512.209753886622,0.11349480968858132,0.10588235294117647,72,75.71020602980198,1354.3191709996868,2966.9562276918064,0.7638888888888888,0.75,ts-execute-service,0.0034602076124567475,0.0034602076124567475,0.007612456747404845
re1_tt__ts-travel-service_disk__5,re1_tt,0.4,144,216,weak,3,1445,1445,0,-16.68034076343163,21.043577292224178,3487.527949122511,0.15294117647058825,0.1439446366782007,72,74.5822650805151,1046.7338031651361,3185.622671837106,0.8055555555555556,0.7916666666666666,ts-execute-service,0.006228373702422145,0.004844290657439446,0.007612456747404845
re1_tt__ts-travel-service_disk__5,re1_tt,0.4,144,216,reference,3,1445,1445,0,-16.251347596443765,19.97758013279173,3441.6023256207336,0.1411764705882353,0.13494809688581316,72,69.16222148659755,1031.6667038060355,3139.6774495635896,0.8194444444444444,0.7777777777777778,ts-execute-service,0.004152249134948097,0.006228373702422145,0.007612456747404845
re1_tt__ts-travel-service_disk__5,re1_tt,0.4,144,216,strong,3,1445,1445,0,-30.82226977124637,11.283290624946332,3353.3806501138097,0.12387543252595155,0.11764705882352941,72,54.38654457465364,1001.7259709453659,3051.3537485765282,0.7638888888888888,0.75,ts-execute-service,0.004152249134948097,0.006920415224913495,0.007612456747404845
re1_tt__ts-travel-service_disk__5,re1_tt,0.5,180,180,weak,3,1445,1445,0,-16.561554561230878,27.758736260547153,4260.441429424577,0.15432525951557094,0.15017301038062283,72,57.33516709768328,533.7878006228426,4026.361373780397,0.8194444444444444,0.8194444444444444,ts-execute-service,0.006920415224913495,0.006920415224913495,0.007612456747404845
re1_tt__ts-travel-service_disk__5,re1_tt,0.5,180,180,reference,3,1445,1445,0,-16.36159665337101,17.503527141830286,4202.040539256574,0.15017301038062283,0.1453287197231834,72,54.81001675344584,482.4739752485659,3967.9653102972757,0.7916666666666666,0.7777777777777778,ts-execute-service,0.008304498269896194,0.006228373702422145,0.007612456747404845
re1_tt__ts-travel-service_disk__5,re1_tt,0.5,180,180,strong,3,1445,1445,0,-32.92326797519297,7.982620016420242,4088.8847120678856,0.12041522491349481,0.11349480968858132,72,35.122257210479766,379.76459968920744,3854.837222052572,0.75,0.7083333333333334,ts-execute-service,0.004152249134948097,0.006228373702422145,0.007612456747404845
re1_tt__ts-travel-service_disk__5,re1_tt,0.6,216,144,weak,3,1445,1445,0,-16.363681816189313,29.90784773240975,5155.796048246517,0.15709342560553632,0.14948096885813147,72,46.830426313408005,377.8951490951559,4877.06710612868,0.7777777777777778,0.7638888888888888,ts-execute-service,0.01384083044982699,0.008304498269896194,0.007612456747404845
